Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
520.611595875,0,0,0,0,1,1,1,1
520.611691458,0,0,0,0,0,1,1,1
520.611697500,0,0,0,0,1,1,1,1
520.611719667,0,0,0,0,0,1,1,1
520.611748833,0,1,0,0,0,1,1,1
520.611850500,0,0,0,0,0,1,1,1
520.611888708,0,0,1,0,0,1,1,1
520.613174833,0,0,0,0,0,1,1,1
520.613179875,0,0,0,1,0,1,1,1
520.613337875,0,0,0,0,0,1,1,1
520.613343917,0,0,0,0,1,1,1,1
520.613439542,0,0,0,0,0,1,1,1
520.613445542,0,0,0,0,1,1,1,1
520.613467708,0,0,0,0,0,1,1,1
520.613496875,0,1,0,0,0,1,1,1
520.613598542,0,0,0,0,0,1,1,1
520.613636792,0,0,1,0,0,1,1,1
520.614922917,0,0,0,0,0,1,1,1
520.614927958,0,0,0,1,0,1,1,1
520.615085958,0,0,0,0,0,1,1,1
520.615092000,0,0,0,0,1,1,1,1
520.615187625,0,0,0,0,0,1,1,1
520.615193667,0,0,0,0,1,1,1,1
520.615215792,0,0,0,0,0,1,1,1
520.615244958,0,1,0,0,0,1,1,1
520.615346625,0,0,0,0,0,1,1,1
520.615384875,0,0,1,0,0,1,1,1
520.616671000,0,0,0,0,0,1,1,1
520.616676042,0,0,0,1,0,1,1,1
520.616798792,0,0,0,0,0,1,1,1
520.616804833,0,0,0,0,1,1,1,1
520.616900458,0,0,0,0,0,1,1,1
520.616906500,0,0,0,0,1,1,1,1
520.616928625,0,0,0,0,0,1,1,1
520.616957792,0,1,0,0,0,1,1,1
520.617059458,0,0,0,0,0,1,1,1
520.617097667,0,0,1,0,0,1,1,1
520.618383792,0,0,0,0,0,1,1,1
520.618388833,0,0,0,1,0,1,1,1
520.618544833,0,0,0,0,0,1,1,1
520.618550833,0,0,0,0,1,1,1,1
520.618646458,0,0,0,0,0,1,1,1
520.618652500,0,0,0,0,1,1,1,1
520.618674625,0,0,0,0,0,1,1,1
520.618703833,0,1,0,0,0,1,1,1
520.618805458,0,0,0,0,0,1,1,1
520.618843708,0,0,1,0,0,1,1,1
520.620129875,0,0,0,0,0,1,1,1
520.620134917,0,0,0,1,0,1,1,1
520.620292917,0,0,0,0,0,1,1,1
520.620298958,0,0,0,0,1,1,1,1
520.620394542,0,0,0,0,0,1,1,1
520.620400583,0,0,0,0,1,1,1,1
520.620422708,0,0,0,0,0,1,1,1
520.620451917,0,1,0,0,0,1,1,1
520.620553542,0,0,0,0,0,1,1,1
520.620591792,0,0,1,0,0,1,1,1
520.621877917,0,0,0,0,0,1,1,1
520.621882917,0,0,0,1,0,1,1,1
520.622038917,0,0,0,0,0,1,1,1
520.622044958,0,0,0,0,1,1,1,1
520.622140583,0,0,0,0,0,1,1,1
520.622146625,0,0,0,0,1,1,1,1
520.622168750,0,0,0,0,0,1,1,1
520.622197917,0,1,0,0,0,1,1,1
520.622299583,0,0,0,0,0,1,1,1
520.622337833,0,0,1,0,0,1,1,1
520.623623958,0,0,0,0,0,1,1,1
520.623629000,0,0,0,1,0,1,1,1
520.623787000,0,0,0,0,0,1,1,1
520.623793042,0,0,0,0,1,1,1,1
520.623888625,0,0,0,0,0,1,1,1
520.623894667,0,0,0,0,1,1,1,1
520.623916792,0,0,0,0,0,1,1,1
520.623946000,0,1,0,0,0,1,1,1
520.624047625,0,0,0,0,0,1,1,1
520.624085875,0,0,1,0,0,1,1,1
520.625372000,0,0,0,0,0,1,1,1
520.625377042,0,0,0,1,0,1,1,1
520.625533042,0,0,0,0,0,1,1,1
520.625539083,0,0,0,0,1,1,1,1
520.625634667,0,0,0,0,0,1,1,1
520.625640708,0,0,0,0,1,1,1,1
520.625662833,0,0,0,0,0,1,1,1
520.625692042,0,1,0,0,0,1,1,1
520.625793667,0,0,0,0,0,1,1,1
520.625831917,0,0,1,0,0,1,1,1
520.627118042,0,0,0,0,0,1,1,1
520.627123042,0,0,0,1,0,1,1,1
520.627281042,0,0,0,0,0,1,1,1
520.627287083,0,0,0,0,1,1,1,1
520.627382708,0,0,0,0,0,1,1,1
520.627388750,0,0,0,0,1,1,1,1
520.627410875,0,0,0,0,0,1,1,1
520.627440042,0,1,0,0,0,1,1,1
520.627541708,0,0,0,0,0,1,1,1
520.627579958,0,0,1,0,0,1,1,1
520.628866042,0,0,0,0,0,1,1,1
520.628871083,0,0,0,1,0,1,1,1
520.629027083,0,0,0,0,0,1,1,1
520.629033125,0,0,0,0,1,1,1,1
520.629128708,0,0,0,0,0,1,1,1
520.629134750,0,0,0,0,1,1,1,1
520.629156917,0,0,0,0,0,1,1,1
520.629186083,0,1,0,0,0,1,1,1
520.629287708,0,0,0,0,0,1,1,1
520.629325958,0,0,1,0,0,1,1,1
520.630612125,0,0,0,0,0,1,1,1
520.630617167,0,0,0,1,0,1,1,1
520.630775167,0,0,0,0,0,1,1,1
520.630781208,0,0,0,0,1,1,1,1
520.630876833,0,0,0,0,0,1,1,1
520.630882833,0,0,0,0,1,1,1,1
520.630905000,0,0,0,0,0,1,1,1
520.630934167,0,1,0,0,0,1,1,1
520.631035833,0,0,0,0,0,1,1,1
520.631074083,0,0,1,0,0,1,1,1
520.632360250,0,0,0,0,0,1,1,1
520.632365250,0,0,0,1,0,1,1,1
520.632521250,0,0,0,0,0,1,1,1
520.632527292,0,0,0,0,1,1,1,1
520.632622917,0,0,0,0,0,1,1,1
520.632628917,0,0,0,0,1,1,1,1
520.632651083,0,0,0,0,0,1,1,1
520.632680250,0,1,0,0,0,1,1,1
520.632781917,0,0,0,0,0,1,1,1
520.632820167,0,0,1,0,0,1,1,1
520.634106250,0,0,0,0,0,1,1,1
520.634111292,0,0,0,1,0,1,1,1
520.634269292,0,0,0,0,0,1,1,1
520.634275333,0,0,0,0,1,1,1,1
520.634370917,0,0,0,0,0,1,1,1
520.634376958,0,0,0,0,1,1,1,1
520.634399083,0,0,0,0,0,1,1,1
520.634428292,0,1,0,0,0,1,1,1
520.634529917,0,0,0,0,0,1,1,1
520.634568167,0,0,1,0,0,1,1,1
520.635854292,0,0,0,0,0,1,1,1
520.635859333,0,0,0,1,0,1,1,1
520.636015292,0,0,0,0,0,1,1,1
520.636021333,0,0,0,0,1,1,1,1
520.636116917,0,0,0,0,0,1,1,1
520.636122958,0,0,0,0,1,1,1,1
520.636145083,0,0,0,0,0,1,1,1
520.636174292,0,1,0,0,0,1,1,1
520.636275917,0,0,0,0,0,1,1,1
520.636314167,0,0,1,0,0,1,1,1
520.637600292,0,0,0,0,0,1,1,1
520.637605292,0,0,0,1,0,1,1,1
520.637763292,0,0,0,0,0,1,1,1
520.637769333,0,0,0,0,1,1,1,1
520.637864917,0,0,0,0,0,1,1,1
520.637870958,0,0,0,0,1,1,1,1
520.637893125,0,0,0,0,0,1,1,1
520.637922292,0,1,0,0,0,1,1,1
520.638023958,0,0,0,0,0,1,1,1
520.638062167,0,0,1,0,0,1,1,1
520.639348333,0,0,0,0,0,1,1,1
520.639353375,0,0,0,1,0,1,1,1
520.639509333,0,0,0,0,0,1,1,1
520.639515375,0,0,0,0,1,1,1,1
520.639611000,0,0,0,0,0,1,1,1
520.639617042,0,0,0,0,1,1,1,1
520.639639167,0,0,0,0,0,1,1,1
520.639668333,0,1,0,0,0,1,1,1
520.639770000,0,0,0,0,0,1,1,1
520.639808208,0,0,1,0,0,1,1,1
520.641094417,0,0,0,0,0,1,1,1
520.641099458,0,0,0,1,0,1,1,1
520.641257458,0,0,0,0,0,1,1,1
520.641263500,0,0,0,0,1,1,1,1
520.641359083,0,0,0,0,0,1,1,1
520.641365125,0,0,0,0,1,1,1,1
520.641387292,0,0,0,0,0,1,1,1
520.641416458,0,1,0,0,0,1,1,1
520.641518083,0,0,0,0,0,1,1,1
520.641556333,0,0,1,0,0,1,1,1
520.642842500,0,0,0,0,0,1,1,1
520.642847542,0,0,0,1,0,1,1,1
520.643003542,0,0,0,0,0,1,1,1
520.643009583,0,0,0,0,1,1,1,1
520.643105167,0,0,0,0,0,1,1,1
520.643111208,0,0,0,0,1,1,1,1
520.643133333,0,0,0,0,0,1,1,1
520.643162542,0,1,0,0,0,1,1,1
520.643264167,0,0,0,0,0,1,1,1
520.643302417,0,0,1,0,0,1,1,1
520.644588542,0,0,0,0,0,1,1,1
520.644593583,0,0,0,1,0,1,1,1
520.644751583,0,0,0,0,0,1,1,1
520.644757625,0,0,0,0,1,1,1,1
520.644853208,0,0,0,0,0,1,1,1
520.644859250,0,0,0,0,1,1,1,1
520.644881375,0,0,0,0,0,1,1,1
520.644910583,0,1,0,0,0,1,1,1
520.645012208,0,0,0,0,0,1,1,1
520.645050458,0,0,1,0,0,1,1,1
520.646336625,0,0,0,0,0,1,1,1
520.646341667,0,0,0,1,0,1,1,1
520.646497625,0,0,0,0,0,1,1,1
520.646503667,0,0,0,0,1,1,1,1
520.646599292,0,0,0,0,0,1,1,1
520.646605292,0,0,0,0,1,1,1,1
520.646627458,0,0,0,0,0,1,1,1
520.646656625,0,1,0,0,0,1,1,1
520.646758292,0,0,0,0,0,1,1,1
520.646796500,0,0,1,0,0,1,1,1
520.648082667,0,0,0,0,0,1,1,1
520.648087708,0,0,0,1,0,1,1,1
520.648245708,0,0,0,0,0,1,1,1
520.648251750,0,0,0,0,1,1,1,1
520.648347333,0,0,0,0,0,1,1,1
520.648353375,0,0,0,0,1,1,1,1
520.648375500,0,0,0,0,0,1,1,1
520.648404708,0,1,0,0,0,1,1,1
520.648506333,0,0,0,0,0,1,1,1
520.648544583,0,0,1,0,0,1,1,1
520.649830667,0,0,0,0,0,1,1,1
520.649835708,0,0,0,1,0,1,1,1
520.649991708,0,0,0,0,0,1,1,1
520.649997708,0,0,0,0,1,1,1,1
520.650093333,0,0,0,0,0,1,1,1
520.650099375,0,0,0,0,1,1,1,1
520.650121500,0,0,0,0,0,1,1,1
520.650150708,0,1,0,0,0,1,1,1
520.650252333,0,0,0,0,0,1,1,1
520.650290583,0,0,1,0,0,1,1,1
520.651576667,0,0,0,0,0,1,1,1
520.651581708,0,0,0,1,0,1,1,1
520.651739708,0,0,0,0,0,1,1,1
520.651745750,0,0,0,0,1,1,1,1
520.651841333,0,0,0,0,0,1,1,1
520.651847375,0,0,0,0,1,1,1,1
520.651869500,0,0,0,0,0,1,1,1
520.651898667,0,1,0,0,0,1,1,1
520.652000333,0,0,0,0,0,1,1,1
520.652038583,0,0,1,0,0,1,1,1
520.653324708,0,0,0,0,0,1,1,1
520.653329708,0,0,0,1,0,1,1,1
520.653485708,0,0,0,0,0,1,1,1
520.653491750,0,0,0,0,1,1,1,1
520.653587375,0,0,0,0,0,1,1,1
520.653593375,0,0,0,0,1,1,1,1
520.653615542,0,0,0,0,0,1,1,1
520.653644708,0,1,0,0,0,1,1,1
520.653746375,0,0,0,0,0,1,1,1
520.653784625,0,0,1,0,0,1,1,1
520.655070750,0,0,0,0,0,1,1,1
520.655075792,0,0,0,1,0,1,1,1
520.655233792,0,0,0,0,0,1,1,1
520.655239833,0,0,0,0,1,1,1,1
520.655335417,0,0,0,0,0,1,1,1
520.655341458,0,0,0,0,1,1,1,1
520.655363625,0,0,0,0,0,1,1,1
520.655392792,0,1,0,0,0,1,1,1
520.655494417,0,0,0,0,0,1,1,1
520.655532667,0,0,1,0,0,1,1,1
520.656818833,0,0,0,0,0,1,1,1
520.656823833,0,0,0,1,0,1,1,1
520.656979833,0,0,0,0,0,1,1,1
520.656985875,0,0,0,0,1,1,1,1
520.657081458,0,0,0,0,0,1,1,1
520.657087500,0,0,0,0,1,1,1,1
520.657109667,0,0,0,0,0,1,1,1
520.657138833,0,1,0,0,0,1,1,1
520.657240458,0,0,0,0,0,1,1,1
520.657278708,0,0,1,0,0,1,1,1
520.658564833,0,0,0,0,0,1,1,1
520.658569875,0,0,0,1,0,1,1,1
520.658727875,0,0,0,0,0,1,1,1
520.658733875,0,0,0,0,1,1,1,1
520.658829500,0,0,0,0,0,1,1,1
520.658835542,0,0,0,0,1,1,1,1
520.658857667,0,0,0,0,0,1,1,1
520.658886875,0,1,0,0,0,1,1,1
520.658988500,0,0,0,0,0,1,1,1
520.659026750,0,0,1,0,0,1,1,1
520.660312875,0,0,0,0,0,1,1,1
520.660317917,0,0,0,1,0,1,1,1
520.660475917,0,0,0,0,0,1,1,1
520.660481958,0,0,0,0,1,1,1,1
520.660577542,0,0,0,0,0,1,1,1
520.660583583,0,0,0,0,1,1,1,1
520.660605750,0,0,0,0,0,1,1,1
520.660634917,0,1,0,0,0,1,1,1
520.660736583,0,0,0,0,0,1,1,1
520.660774792,0,0,1,0,0,1,1,1
520.662060917,0,0,0,0,0,1,1,1
520.662065958,0,0,0,1,0,1,1,1
520.662189750,0,0,0,0,0,1,1,1
520.662195792,0,0,0,0,1,1,1,1
520.662291375,0,0,0,0,0,1,1,1
520.662297417,0,0,0,0,1,1,1,1
520.662319542,0,0,0,0,0,1,1,1
520.662348750,0,1,0,0,0,1,1,1
520.662450375,0,0,0,0,0,1,1,1
520.662488625,0,0,1,0,0,1,1,1
520.663774750,0,0,0,0,0,1,1,1
520.663779750,0,0,0,1,0,1,1,1
520.663935750,0,0,0,0,0,1,1,1
520.663941792,0,0,0,0,1,1,1,1
520.664037417,0,0,0,0,0,1,1,1
520.664043417,0,0,0,0,1,1,1,1
520.664065583,0,0,0,0,0,1,1,1
520.664094750,0,1,0,0,0,1,1,1
520.664196417,0,0,0,0,0,1,1,1
520.664234667,0,0,1,0,0,1,1,1
520.665520708,0,0,0,0,0,1,1,1
